Gene stable ID	Transcript stable ID	HGNC ID	HGNC symbol
ENSG00000182901	ENST00000440928	HGNC:10003	RGS7
ENSG00000182901	ENST00000348120	HGNC:10003	RGS7
ENSG00000182901	ENST00000366563	HGNC:10003	RGS7
ENSG00000182901	ENST00000366564	HGNC:10003	RGS7
ENSG00000182901	ENST00000366565	HGNC:10003	RGS7
ENSG00000143622	ENST00000368323	HGNC:10023	RIT1
ENSG00000143622	ENST00000651853	HGNC:10023	RIT1
ENSG00000143622	ENST00000539040	HGNC:10023	RIT1
ENSG00000143622	ENST00000368322	HGNC:10023	RIT1
ENSG00000143622	ENST00000461050	HGNC:10023	RIT1
ENSG00000143622	ENST00000609492	HGNC:10023	RIT1
ENSG00000143622	ENST00000651833	HGNC:10023	RIT1
ENSG00000143622	ENST00000650659	HGNC:10023	RIT1
ENSG00000143622	ENST00000462687	HGNC:10023	RIT1
ENSG00000269900	ENST00000602361	HGNC:10031	RMRP
ENSG00000277027	ENST00000363046	HGNC:10031	RMRP
ENSG00000074582	ENST00000428880	HGNC:1020	BCS1L
ENSG00000074582	ENST00000430322	HGNC:1020	BCS1L
ENSG00000074582	ENST00000456050	HGNC:1020	BCS1L
ENSG00000074582	ENST00000443791	HGNC:1020	BCS1L
ENSG00000074582	ENST00000490188	HGNC:1020	BCS1L
ENSG00000074582	ENST00000359273	HGNC:1020	BCS1L
ENSG00000074582	ENST00000392111	HGNC:1020	BCS1L
ENSG00000074582	ENST00000392109	HGNC:1020	BCS1L
ENSG00000074582	ENST00000392110	HGNC:1020	BCS1L
ENSG00000074582	ENST00000423377	HGNC:1020	BCS1L
ENSG00000074582	ENST00000412366	HGNC:1020	BCS1L
ENSG00000074582	ENST00000439945	HGNC:1020	BCS1L
ENSG00000074582	ENST00000431802	HGNC:1020	BCS1L
ENSG00000074582	ENST00000643945	HGNC:1020	BCS1L
ENSG00000074582	ENST00000493376	HGNC:1020	BCS1L
ENSG00000074582	ENST00000471576	HGNC:1020	BCS1L
ENSG00000074582	ENST00000477422	HGNC:1020	BCS1L
ENSG00000074582	ENST00000460579	HGNC:1020	BCS1L
ENSG00000074582	ENST00000465706	HGNC:1020	BCS1L
ENSG00000074582	ENST00000426649	HGNC:1020	BCS1L
ENSG00000074582	ENST00000436603	HGNC:1020	BCS1L
ENSG00000169071	ENST00000375715	HGNC:10257	ROR2
ENSG00000169071	ENST00000375708	HGNC:10257	ROR2
ENSG00000169071	ENST00000550066	HGNC:10257	ROR2
ENSG00000169071	ENST00000548585	HGNC:10257	ROR2
ENSG00000169071	ENST00000495386	HGNC:10257	ROR2
ENSG00000169071	ENST00000546883	HGNC:10257	ROR2
ENSG00000169071	ENST00000476440	HGNC:10257	ROR2
ENSG00000169071	ENST00000493846	HGNC:10257	ROR2
ENSG00000069667	ENST00000335670	HGNC:10258	RORA
